Date,NASDAQ_AAPL,NASDAQ_ADBE,NASDAQ_ADP,NASDAQ_AMGN,NASDAQ_AMZN,NASDAQ_AVGO,NASDAQ_BIIB,NASDAQ_BKNG,NASDAQ_CHTR,NASDAQ_CMCSA,NASDAQ_COST,NASDAQ_CSCO,NASDAQ_GILD,NASDAQ_GOOGL,NASDAQ_INTC,NASDAQ_INTU,NASDAQ_ISRG,NASDAQ_MDLZ,NASDAQ_META,NASDAQ_MSFT,NASDAQ_NFLX,NASDAQ_NVDA,NASDAQ_PEP,NASDAQ_PYPL,NASDAQ_QCOM,NASDAQ_REGN,NASDAQ_SBUX,NASDAQ_TSLA,NASDAQ_TXN,NASDAQ_VRTX,NYSE_ABBV,NYSE_ACN,NYSE_BA,NYSE_BHP,NYSE_C,NYSE_CVX,NYSE_DHR,NYSE_DIS,NYSE_GE,NYSE_GS,NYSE_HD,NYSE_IBM,NYSE_JD,NYSE_JNJ,NYSE_KO,NYSE_LIN,NYSE_LLY,NYSE_MCD,NYSE_MMM,NYSE_MRK,NYSE_NKE,NYSE_PG,NYSE_PLD,NYSE_RTX,NYSE_T,NYSE_UNH,NYSE_UPS,NYSE_V,NYSE_WMT,NYSE_XOM,EuroNext_ABI.BR,EuroNext_AI.PA,EuroNext_AIR.PA,EuroNext_BN.PA,EuroNext_BNP.PA,EuroNext_CAP.PA,EuroNext_DG.PA,EuroNext_DSY.PA,EuroNext_EL.PA,EuroNext_ENEL.MI,EuroNext_ENGI.PA,EuroNext_ENI.MI,EuroNext_FR.PA,EuroNext_GLE.PA,EuroNext_KER.PA,EuroNext_LR.PA,EuroNext_MC.PA,EuroNext_ML.PA,EuroNext_OR.PA,EuroNext_ORA.PA,EuroNext_RI.PA,EuroNext_RMS.PA,EuroNext_SAF.PA,EuroNext_SAN.PA,EuroNext_SGO.PA,EuroNext_STLA,EuroNext_SU.PA,EuroNext_SW.PA,EuroNext_VIE.PA,EuroNext_VIV.PA,Nikkei_4502.T,Nikkei_4503.T,Nikkei_4523.T,Nikkei_4901.T,Nikkei_6367.T,Nikkei_6471.T,Nikkei_6701.T,Nikkei_6702.T,Nikkei_6752.T,Nikkei_6758.T,Nikkei_6902.T,Nikkei_7201.T,Nikkei_7203.T,Nikkei_7267.T,Nikkei_7269.T,Nikkei_7735.T,Nikkei_7751.T,Nikkei_7752.T,Nikkei_7974.T,Nikkei_8031.T,Nikkei_8035.T,Nikkei_8058.T,Nikkei_8306.T,Nikkei_8316.T,Nikkei_8591.T,Nikkei_8725.T,Nikkei_8766.T,Nikkei_9202.T,Nikkei_9432.T,Nikkei_9984.T
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.900001525878906,122.7272720336914,113.86000061035156,49.58000183105469,54.93000030517578,158.60000610351562,94.94999694824219,33.775001525878906,167.2815399169922,5.171000003814697,13.555999755859375,13.708000183105469,17.825000762939453,24.184999465942383,483.6000061035156,75.22000122070312,694.0999755859375,26.915000915527344,337.1000061035156,9.394000053405762,184.89999389648438,1473.0,118.54000091552734,91.68000030517578,46.959999084472656,,132.74000549316406,65.71083068847656,24.8700008392334,9.071999549865723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,125.06999969482422,336.9200134277344,237.66000366210938,261.6499938964844,85.81999969482422,55.347999572753906,272.6300048828125,2032.2099609375,341.5799865722656,35.56999969482422,453.2799987792969,47.939998626708984,85.38999938964844,89.12000274658203,26.729999542236328,391.17999267578125,265.6300048828125,66.25,124.73999786376953,239.5800018310547,294.95001220703125,14.3149995803833,179.41000366210938,74.58000183105469,107.19999694824219,720.469970703125,100.83000183105469,108.0999984741211,163.2100067138672,286.0199890136719,162.3800048828125,270.260009765625,195.38999938964844,61.400001525878906,45.779998779296875,173.99000549316406,232.5088653564453,88.97000122070312,52.943973541259766,346.2200012207031,315.9100036621094,141.5500030517578,57.63999938964844,178.19000244140625,62.95000076293945,318.3500061035156,364.989990234375,264.3299865722656,102.39966583251953,111.13999938964844,118.75,151.57000732421875,112.69000244140625,100.80999755859375,18.739999771118164,518.6400146484375,175.27999877929688,207.38999938964844,47.866668701171875,106.51000213623047,56.84000015258789,122.41818237304688,114.54000091552734,49.95500183105469,56.0099983215332,159.64999389648438,94.83999633789062,34.10499954223633,166.4497833251953,5.300000190734863,13.508000373840332,13.78600025177002,17.899999618530273,24.56999969482422,489.1000061035156,75.9000015258789,702.7999877929688,27.6299991607666,338.3999938964844,9.527999877929688,184.4499969482422,1490.0,118.0,92.33000183105469,48.189998626708984,14.59000015258789,133.89999389648438,66.08914947509766,24.780000686645508,9.324000358581543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,126.36000061035156,341.4100036621094,238.77999877929688,264.3900146484375,85.13999938964844,56.02399826049805,270.80999755859375,2110.43994140625,354.0,36.59000015258789,456.55999755859375,47.54999923706055,85.5,88.08000183105469,27.68000030517578,391.57000732421875,270.0,66.7300033569336,127.37000274658203,229.10000610351562,309.4100036621094,14.74899959564209,178.97000122070312,77.69000244140625,111.52999877929688,726.489990234375,104.45999908447266,113.63999938964844,169.1699981689453,286.8299865722656,163.69000244140625,269.3399963378906,203.63999938964844,62.77000045776367,46.959999084472656,172.13999938964844,236.14361572265625,91.9800033569336,56.02553939819336,347.70001220703125,319.7300109863281,142.60000610351562,66.0999984741211,180.1300048828125,62.91999816894531,316.7699890136719,363.1000061035156,264.3900146484375,104.64046478271484,112.08000183105469,121.20999908447266,152.22999572753906,116.95999908447266,100.83999633789062,19.139999389648438,504.5,177.11000061035156,212.61000061035156,47.91999816894531,106.81999969482422,58.02000045776367,125.70909118652344,115.37999725341797,50.41999816894531,58.310001373291016,163.3000030517578,97.08000183105469,34.935001373291016,169.58111572265625,5.486999988555908,13.246000289916992,13.576000213623047,18.2549991607666,25.469999313354492,511.0,77.76000213623047,738.0,28.274999618530273,356.1499938964844,9.814000129699707,186.39999389648438,1553.0,119.0,92.2699966430664,50.34000015258789,15.0600004196167,139.8000030517578,66.07460021972656,25.979999542236328,9.54800033569336,4031.0,1931.0,8181.0,2192.666748046875,19925.0,695.0,4575.0,1750.0,1091.5,2033.0,1611.25,412.3999938964844,1799.0,1014.0,1033.0,4160.0,2810.5,988.0,5487.0,1872.0,12803.3330078125,1404.6666259765625,926.2000122070312,1791.6666259765625,2111.5,1412.6666259765625,2833.5,2776.5,150.47999572753906,5640.0
2023-01-05,125.0199966430664,328.44000244140625,233.6300048828125,266.8599853515625,83.12000274658203,55.50199890136719,271.5899963378906,2144.93994140625,361.42999267578125,36.97999954223633,450.19000244140625,46.880001068115234,85.8499984741211,86.19999694824219,27.559999465942383,375.6199951171875,268.6199951171875,66.19000244140625,126.94000244140625,222.30999755859375,309.70001220703125,14.265000343322754,177.10000610351562,76.2699966430664,109.4000015258789,723.760009765625,104.43000030517578,110.33999633789062,166.92999267578125,287.8900146484375,163.49000549316406,262.9800109863281,204.99000549316406,63.33000183105469,46.75,175.24000549316406,226.26773071289062,91.91999816894531,56.895450592041016,343.760009765625,315.4700012207031,141.11000061035156,65.9000015258789,178.8000030517578,62.20000076293945,305.489990234375,358.9200134277344,262.1600036621094,102.80936431884766,113.63999938964844,120.62000274658203,150.33999633789062,112.8499984741211,100.87999725341797,19.209999084472656,489.9599914550781,173.83999633789062,211.11000061035156,47.75666809082031,109.20999908447266,57.13999938964844,125.09091186523438,115.19999694824219,50.56999969482422,58.61000061035156,163.6999969482422,97.41000366210938,35.10499954223633,170.2171630859375,5.478000164031982,13.350000381469727,13.607999801635742,18.540000915527344,25.440000534057617,518.0,78.4000015258789,728.4000244140625,28.3799991607666,354.04998779296875,9.897000312805176,184.3000030517578,1548.5,118.80000305175781,90.3499984741211,51.369998931884766,15.170000076293945,139.6199951171875,65.75448608398438,25.920000076293945,9.371999740600586,4075.0,1913.5,8121.0,2213.333251953125,20035.0,696.0,4565.0,1756.0,1086.0,2077.0,1621.25,419.3999938964844,1807.5,1021.3333129882812,1044.5,4260.0,2833.0,978.0,5530.0,1866.5,13316.6669921875,1412.6666259765625,912.0,1759.3333740234375,2118.5,1397.0,2772.0,2742.5,150.52000427246094,5745.0
2023-01-06,129.6199951171875,332.75,240.16000366210938,275.20001220703125,86.08000183105469,58.84299850463867,279.25,2179.25,367.7300109863281,37.88999938964844,482.8699951171875,48.31999969482422,88.08000183105469,87.33999633789062,28.729999542236328,386.5199890136719,270.3900146484375,68.0199966430664,130.02000427246094,224.92999267578125,315.54998779296875,14.859000205993652,181.10000610351562,76.4800033569336,115.33999633789062,737.1500244140625,106.69000244140625,113.05999755859375,175.16000366210938,290.2099914550781,166.5500030517578,269.2099914550781,213.0,66.04000091552734,47.310001373291016,176.55999755859375,223.83865356445312,93.91999816894531,57.414207458496094,348.0799865722656,317.5299987792969,143.6999969482422,64.30000305175781,180.25,63.400001525878906,316.1600036621094,362.94000244140625,269.4700012207031,105.95317840576172,114.83999633789062,124.52999877929688,153.9199981689453,116.6500015258789,102.45999908447266,19.530000686645508,490.0,178.9499969482422,217.75,48.926666259765625,110.52999877929688,57.439998626708984,128.4363555908203,116.54000091552734,49.64500045776367,59.11000061035156,165.64999389648438,98.4800033569336,35.084999084472656,172.32102966308594,5.60099983215332,12.946000099182129,13.838000297546387,18.950000762939453,25.510000228881836,527.5999755859375,79.4800033569336,748.7999877929688,28.920000076293945,358.6000061035156,9.890999794006348,186.3000030517578,1591.5,122.4000015258789,91.12000274658203,52.380001068115234,15.449999809265137,141.89999389648438,64.96875,26.530000686645508,9.449999809265137,4080.0,1924.0,8147.0,2209.333251953125,20250.0,700.0,4555.0,1739.0,1095.5,2127.0,1637.25,426.70001220703125,1825.0,1041.0,1064.5,4325.0,2864.5,979.0,5483.0,1856.0,13723.3330078125,1400.0,902.4000244140625,1764.3333740234375,2100.0,1383.0,2716.5,2759.5,149.63999938964844,5816.0
2023-01-09,130.14999389648438,341.9800109863281,239.50999450683594,270.1199951171875,87.36000061035156,57.68899917602539,274.7200012207031,2208.409912109375,367.17999267578125,37.54999923706055,478.75,48.58000183105469,85.0999984741211,88.0199966430664,29.309999465942383,395.3399963378906,264.92999267578125,67.23999786376953,129.47000122070312,227.1199951171875,315.1700134277344,15.628000259399414,179.3300018310547,77.08000183105469,114.61000061035156,680.489990234375,104.73999786376953,119.7699966430664,176.67999267578125,283.2300109863281,161.66000366210938,273.75,208.57000732421875,65.62000274658203,47.540000915527344,175.17999267578125,226.108154296875,94.7699966430664,57.99680709838867,353.0,317.80999755859375,143.5500030517578,63.130001068115234,175.5800018310547,62.61000061035156,321.9200134277344,349.8299865722656,267.25,106.01170349121094,110.37999725341797,124.8499984741211,152.0399932861328,116.05999755859375,99.5999984741211,19.040000915527344,490.05999755859375,181.69000244140625,218.60000610351562,48.31666564941406,108.47000122070312,56.77000045776367,129.58181762695312,117.5,49.1349983215332,59.02000045776367,166.8000030517578,99.75,34.98500061035156,172.07640075683594,5.598999977111816,13.163999557495117,13.944000244140625,19.309999465942383,25.06999969482422,526.5,80.81999969482422,759.5999755859375,29.235000610351562,365.8500061035156,9.88599967956543,187.85000610351562,1611.0,122.13999938964844,90.44000244140625,52.9900016784668,15.619999885559082,144.82000732421875,64.27031707763672,26.799999237060547,9.47599983215332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-10,130.72999572753906,338.70001220703125,240.77999877929688,273.8800048828125,89.87000274658203,57.49300003051758,281.4599914550781,2220.949951171875,374.6400146484375,37.880001068115234,481.3999938964844,48.810001373291016,87.13999938964844,88.41999816894531,29.440000534057617,388.67999267578125,271.3599853515625,67.30999755859375,132.99000549316406,228.85000610351562,327.5400085449219,15.909000396728516,177.85000610351562,77.91999816894531,116.91000366210938,698.9500122070312,106.0,118.8499984741211,178.39999389648438,288.75,159.63999938964844,274.92999267578125,206.69000244140625,66.77999877929688,48.189998626708984,176.0399932861328,236.6046142578125,95.55999755859375,60.07182693481445,357.3599853515625,320.6300048828125,144.8000030517578,63.650001525878906,175.16000366210938,62.130001068115234,322.0299987792969,352.75,268.9100036621094,107.13211059570312,110.80999755859375,125.83999633789062,151.88999938964844,116.05000305175781,99.91999816894531,19.469999313354492,486.0,178.77000427246094,221.08999633789062,48.28666687011719,110.08999633789062,56.34000015258789,128.81817626953125,115.0999984741211,49.4900016784668,58.349998474121094,163.60000610351562,99.4000015258789,34.38999938964844,168.945068359375,5.535999774932861,13.156000137329102,13.973999977111816,18.985000610351562,24.549999237060547,524.2999877929688,79.36000061035156,756.2999877929688,28.709999084472656,364.3500061035156,9.892000198364258,187.5,1606.5,121.83999633789062,90.06999969482422,51.720001220703125,15.869999885559082,144.27999877929688,64.09571075439453,26.469999313354492,9.411999702453613,4026.0,1901.5,8541.0,2194.333251953125,21330.0,696.0,4500.0,1765.0,1096.5,2145.0,1636.25,431.20001220703125,1827.0,1052.3333740234375,1068.75,4465.0,2869.5,974.0,5470.0,1871.0,14146.6669921875,1408.6666259765625,893.2999877929688,1761.6666259765625,2097.0,1377.0,2738.5,2761.5,147.83999633789062,5953.0
2023-01-11,133.49000549316406,342.92999267578125,245.0500030517578,272.9100036621094,95.08999633789062,57.81399917602539,285.0299987792969,2224.81005859375,378.42999267578125,37.95000076293945,484.30999755859375,49.209999084472656,87.19000244140625,91.5199966430664,29.850000381469727,395.30999755859375,259.9599914550781,67.56999969482422,132.88999938964844,235.77000427246094,327.260009765625,16.000999450683594,178.0500030517578,78.54000091552734,118.38999938964844,709.9400024414062,106.30000305175781,123.22000122070312,178.8699951171875,292.25,157.1699981689453,281.0799865722656,208.02999877929688,67.30000305175781,48.709999084472656,175.1999969482422,242.73936462402344,96.33000183105469,62.00319290161133,364.4800109863281,329.0,145.25999450683594,63.040000915527344,174.8800048828125,62.0099983215332,329.6199951171875,360.4100036621094,268.80999755859375,107.95986938476562,111.06999969482422,127.94000244140625,150.66000366210938,120.94999694824219,99.58999633789062,19.40999984741211,493.3999938964844,182.22999572753906,222.10000610351562,48.709999084472656,111.37000274658203,56.93000030517578,131.36363220214844,113.9000015258789,49.775001525878906,58.599998474121094,163.5500030517578,99.68000030517578,34.970001220703125,169.43434143066406,5.630000114440918,13.29800033569336,14.239999771118164,19.155000686645508,24.2549991607666,543.4000244140625,80.9000015258789,772.2999877929688,28.844999313354492,367.70001220703125,9.786999702453613,190.1999969482422,1620.5,123.0999984741211,90.06999969482422,52.040000915527344,15.800000190734863,146.77999877929688,63.30997085571289,26.959999084472656,9.640000343322754,4099.0,1914.5,8329.0,2239.333251953125,21510.0,701.0,4555.0,1850.0,1110.0,2220.0,1665.5,430.20001220703125,1837.5,1046.6666259765625,1072.75,4520.0,2910.0,990.0,5547.0,1904.0,14330.0,1429.6666259765625,908.0,1781.6666259765625,2133.5,1382.0,2745.0,2730.5,149.0800018310547,5969.0
2023-01-12,133.41000366210938,344.5400085449219,244.25999450683594,270.9200134277344,95.2699966430664,58.194000244140625,288.0799865722656,2256.77001953125,385.4700012207031,38.689998626708984,482.42999267578125,49.0,85.72000122070312,91.12999725341797,30.290000915527344,396.70001220703125,256.94000244140625,66.76000213623047,136.7100067138672,238.50999450683594,330.1300048828125,16.51099967956543,175.77999877929688,79.77999877929688,121.58999633789062,714.5700073242188,105.8499984741211,123.55999755859375,178.1300048828125,296.25,152.22000122070312,283.8399963378906,214.32000732421875,68.98999786376953,49.09000015258789,177.0800018310547,241.40957641601562,99.80999755859375,62.93695068359375,369.94000244140625,329.8699951171875,145.5500030517578,63.16999816894531,174.0,61.209999084472656,328.9100036621094,359.1199951171875,266.69000244140625,108.15217590332031,111.7699966430664,127.88999938964844,149.80999755859375,122.12000274658203,100.68000030517578,19.40999984741211,495.6700134277344,182.9499969482422,223.6199951171875,48.27000045776367,113.22000122070312,55.9900016784668,130.41818237304688,116.23999786376953,49.35499954223633,59.68000030517578,168.9499969482422,101.04000091552734,34.94499969482422,166.79226684570312,5.706999778747559,13.425999641418457,14.416000366210938,19.68000030517578,24.84000015258789,554.0,81.36000061035156,773.7000122070312,29.295000076293945,367.1499938964844,9.913000106811523,191.35000610351562,1615.5,125.23999786376953,90.30000305175781,52.70000076293945,16.030000686645508,147.05999755859375,64.677734375,27.25,9.555999755859375,4095.0,1921.5,8112.0,2233.333251953125,21400.0,703.0,4550.0,1835.5,1124.5,2229.0,1671.0,427.79998779296875,1857.5,1040.3333740234375,1070.5,4565.0,2899.0,973.0,5447.0,1914.0,14586.6669921875,1440.6666259765625,953.5999755859375,1860.0,2130.5,1382.3333740234375,2773.5,2731.0,149.75999450683594,6024.0
2023-01-13,134.75999450683594,344.3800048828125,245.36000061035156,271.7300109863281,98.12000274658203,57.900001525878906,288.0400085449219,2301.340087890625,388.4700012207031,38.93000030517578,485.25,48.880001068115234,86.2699966430664,92.12000274658203,30.110000610351562,393.2099914550781,258.8999938964844,67.05999755859375,136.97999572753906,239.22999572753906,332.82000732421875,16.89900016784668,175.24000549316406,79.4800033569336,120.23999786376953,722.1300048828125,107.2300033569336,122.4000015258789,179.00999450683594,300.94000244140625,153.60000610351562,282.1400146484375,214.1300048828125,69.27999877929688,49.91999816894531,177.55999755859375,242.5709228515625,99.4000015258789,64.00638580322266,374.0,331.2099914550781,145.88999938964844,63.599998474121094,173.42999267578125,61.43000030517578,334.1099853515625,361.6199951171875,268.8900146484375,108.28594970703125,112.25,128.85000610351562,150.8800048828125,121.9000015258789,98.68000030517578,19.549999237060547,489.57000732421875,182.14999389648438,223.05999755859375,48.43000030517578,113.1500015258789,56.290000915527344,129.27272033691406,116.83999633789062,49.720001220703125,59.86000061035156,170.89999389648438,101.37999725341797,35.595001220703125,170.1193084716797,5.728000164031982,13.324000358581543,14.42199993133545,19.979999542236328,24.700000762939453,563.5999755859375,81.58000183105469,785.2999877929688,29.30500030517578,373.8999938964844,9.918999671936035,193.89999389648438,1651.0,126.54000091552734,91.18000030517578,53.25,15.420000076293945,148.3800048828125,64.45947265625,26.860000610351562,9.571999549865723,4095.0,1887.0,8103.0,2200.333251953125,21275.0,701.0,4485.0,1827.5,1103.0,2193.0,1642.5,419.3999938964844,1815.5,1022.3333129882812,1057.5,4640.0,2851.5,960.0,5397.0,1907.0,15030.0,1447.0,977.0999755859375,1906.6666259765625,2138.5,1396.3333740234375,2751.0,2770.0,149.60000610351562,5924.0
